stock_code,stock_name,n_daily_rows,first_date,last_date,missing_ratio,download_success
000011,深物业A,95,2026-01-05,2026-05-29,0.1121,True
000014,沙河股份,95,2026-01-05,2026-05-29,0.1121,True
000017,深中华A,95,2026-01-05,2026-05-29,0.1121,True
000025,特力A,95,2026-01-05,2026-05-29,0.1121,True
000026,飞亚达,95,2026-01-05,2026-05-29,0.1121,True
000036,华联控股,95,2026-01-05,2026-05-29,0.1121,True
000037,深南电A,95,2026-01-05,2026-05-29,0.1121,True
000042,中洲控股,95,2026-01-05,2026-05-29,0.1121,True
000045,深纺织A,95,2026-01-05,2026-05-29,0.1121,True
000068,华控赛格,95,2026-01-05,2026-05-29,0.1121,True
000070,特发信息,95,2026-01-05,2026-05-29,0.1121,True
000090,天健集团,95,2026-01-05,2026-05-29,0.1121,True
000096,广聚能源,95,2026-01-05,2026-05-29,0.1121,True
000151,中成股份,95,2026-01-05,2026-05-29,0.1121,True
000153,丰原药业,95,2026-01-05,2026-05-29,0.1121,True
000159,国际实业,95,2026-01-05,2026-05-29,0.1121,True
000404,长虹华意,95,2026-01-05,2026-05-29,0.1121,True
000407,胜利股份,95,2026-01-05,2026-05-29,0.1121,True
000409,云鼎科技,95,2026-01-05,2026-05-29,0.1121,True
000417,合百集团,95,2026-01-05,2026-05-29,0.1121,True
000419,通程控股,95,2026-01-05,2026-05-29,0.1121,True
000421,南京公用,95,2026-01-05,2026-05-29,0.1121,True
000428,华天酒店,95,2026-01-05,2026-05-29,0.1121,True
000501,武商集团,95,2026-01-05,2026-05-29,0.1121,True
000505,京粮控股,95,2026-01-05,2026-05-29,0.1121,True
000506,招金黄金,95,2026-01-05,2026-05-29,0.1121,True
000507,珠海港,95,2026-01-05,2026-05-29,0.1121,True
000509,华塑控股,95,2026-01-05,2026-05-29,0.1121,True
000510,新金路,95,2026-01-05,2026-05-29,0.1121,True
000514,渝开发,95,2026-01-05,2026-05-29,0.1121,True
000517,荣安地产,95,2026-01-05,2026-05-29,0.1121,True
