序号,stock_code,stock_name,net_profit,net_profit_yoy,revenue,revenue_yoy,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,operating_profit,total_profit,announcement_date,report_date_param,report_type,资产-货币资金,资产-应收账款,资产-存货,total_assets,资产-总资产同比,负债-应付账款,负债-预收账款,total_liabilities,负债-总负债同比,asset_liability_ratio,equity,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比
14,600400,红豆股份,5600663.28,128.894958070815,685717985.52,-8.8167066498,397323110.93,198250793.71,48468506.09,8049913.38,659838525.76,12347238.31,12263301.85,2026-05-09,20260331,profit,,,,,,,,,,,,,,,,,,,
19,300817,双飞集团,16631788.4,28.27,251292553.93,21.1071293071,189570015.1,9746264.63,14630740.21,2038505.0,231528349.53,19187683.96,19038940.31,2026-05-08,20260331,profit,,,,,,,,,,,,,,,,,,,
22,002863,今飞凯达,29400575.45,15.95,1396714731.6,14.972221889,1222527024.4,8706850.96,53369169.33,40328959.9,1384225647.02,21557721.8,21409042.1,2026-05-07,20260331,profit,,,,,,,,,,,,,,,,,,,
32,688793,倍轻松,-11636777.66,-535.008379056638,195467125.35,-0.7852960977,74342780.53,103682073.37,12751340.07,1008388.56,203950069.24,-11720613.52,-11773412.22,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
38,688733,壹石通,419301.67,102.495681873012,185527923.31,54.6845045947,145861526.63,4018326.15,21051346.36,4445931.2,196729598.77,-4073780.63,-4036212.08,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
40,688721,龙图光罩,10215024.88,-41.07,61976414.04,13.9955326594,40925354.57,1661216.41,4319988.22,-224554.34,52834947.07,9926978.61,9932879.93,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
41,688711,宏微科技,909102.67,-16.11,308809854.51,3.825883746,265917808.16,5318000.1,14967265.6,8485180.07,325844570.14,-5519845.57,-5504626.82,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
42,688710,益诺思,12208594.73,121.23,210075783.52,0.4308926451,145454283.26,8263273.63,25324318.66,324900.53,190078854.81,13416366.34,13413121.5,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
46,688693,锴威特,-18015267.35,-40.367627935161,64797670.26,44.5429756319,43580258.49,5970865.0,10940381.61,110374.22,80943341.32,-18356641.64,-18356893.26,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
49,688678,福立旺,45522268.88,223.03,540307903.22,59.6263603687,390505303.11,6438381.18,26489157.37,21629937.72,489068521.33,45521102.33,45521102.33,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
52,688665,四方光电,33770225.41,3.11,224295090.46,4.0953642008,126652533.59,18217747.21,17360674.4,4668563.95,196498902.1,35767379.08,35885505.32,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
54,688651,盛邦安全,-15726664.06,-18.280595442937,44121119.05,-6.6244649229,15102344.1,28902762.59,7575451.27,-183581.48,69610977.25,-16782964.04,-16785753.03,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
56,688627,精智达,14550635.88,189.731254962064,332881168.58,118.8401694313,188976857.29,13058565.9,24535600.53,-3692909.98,289640823.69,31826069.53,31848610.25,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
61,688611,杭州柯林,-3006058.75,-163.95,44881232.48,31.4061835199,28944610.69,3811721.6,8631860.15,608307.03,52691727.86,-2843769.96,-2843769.96,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
64,688601,力芯微,-1392980.71,-113.97,206426912.63,25.7051061343,133437316.2,15976797.31,12878479.68,2620626.98,213872065.26,-6404465.48,-6405956.42,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
66,688595,芯海科技,-38986210.1,-62.188266967618,177497857.54,12.0683188825,124980216.49,8072091.59,19273982.39,2634579.46,217316041.13,-36339408.71,-35711879.25,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
67,688590,新致软件,1736760.75,-88.96,439236675.89,1.1662171646,323901734.44,28798601.6,31852498.97,12512731.79,437769531.61,-655199.75,-629041.44,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
71,688579,地纬智能,-19902820.08,-476.255280431789,39534839.44,-55.946284561,17090955.86,4245231.16,14657441.84,-367365.25,61029618.87,-19906543.1,-20122030.0,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
76,688562,航天软件,-58713034.49,-31.815993127772,47685976.93,-27.8612627467,38019556.07,10399718.19,23472193.28,-743485.59,112874746.88,-63862924.05,-63960310.61,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
81,688556,高测股份,-50227922.29,32.252388874288,791837077.7,15.4637187234,710936785.71,14884651.82,69974816.53,15408838.84,857046223.67,-61871029.85,-61749278.8,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
82,688529,豪森智能,-94172498.83,-198.423019489024,560922034.66,10.8862336539,516940957.87,11494623.69,56643170.42,21234836.21,636487980.97,-99996831.01,-100532567.9,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
86,688518,联赢激光,45942918.0,-2.08,885409155.72,1.7391683081,647572924.95,20397125.21,115946777.74,1276092.76,846595507.47,45956215.26,46111447.74,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
88,688505,复旦张江,7711649.0,189.36,149051087.0,-17.1506042175,12282491.0,72932623.0,10321731.0,-294501.0,150948265.0,7658982.0,7635510.0,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
90,688500,慧辰股份,-27558708.7,-56.077887076773,105046021.53,36.4785914044,82384003.94,25445818.21,15309139.2,-342199.89,129735726.14,-27430319.53,-27430319.23,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
91,688499,利元亨,18877372.27,47.25,875013117.8,22.4276390299,661959781.02,30523036.04,64780485.27,2721940.12,860001982.01,20349694.94,20967693.3,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
92,688489,三未信安,-22614789.47,33.508251597977,72154760.18,10.1083475448,14624506.61,40143448.56,16396518.98,-477060.73,103110464.49,-29077614.81,-28883880.45,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
93,688488,艾迪药业,7606253.11,-51.19,178023123.63,-10.0259614305,57829450.25,64499488.47,21609793.84,3981324.39,163507908.0,18138656.82,15846343.79,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
95,688478,晶升股份,-8759329.45,-245.79,3022085.47,-95.7323343584,2108194.71,1138489.96,7580363.84,-58747.64,21014345.34,-11753103.43,-11585638.91,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
