stock_code,stock_name,latest_price,pct_change,turnover_rate,volume,amount,amplitude,pe_dynamic,pb,total_market_value,float_market_value,snapshot_date,source,synthesized_at
301096,百诚医药,64.6,,0.0458058163899995,3807213.0,244216142.0,,,,,,2026-05-22,derived_from_last_daily_row,20260608
300550,和仁科技,15.12,,0.071236703222615,18685429.0,278394483.0,,,,,,2026-05-25,derived_from_last_daily_row,20260608
000070,特发信息,18.07,1.29,8.82,755954.0,1366425487.04,7.4,,,,,2026-05-29,derived_from_last_daily_row,20260608
002140,东华科技,10.16,-0.88,0.75,53143.0,54160079.6,1.46,,,,,2026-05-29,derived_from_last_daily_row,20260608
920701,豪声电子,12.96,-0.23,0.83,8352.0,10913306.89,5.31,,,,,2026-05-29,derived_from_last_daily_row,20260608
000011,深物业A,7.35,0.82,1.2,63088.0,46973336.88,4.66,,,,,2026-05-29,derived_from_last_daily_row,20260608
000978,桂林旅游,6.65,-0.75,4.77,223317.0,149169142.0,2.24,,,,,2026-05-29,derived_from_last_daily_row,20260608
002146,荣盛发展,1.3,4.0,5.29,2069488.0,272956489.9,8.8,,,,,2026-05-29,derived_from_last_daily_row,20260608
001219,青岛食品,13.37,1.83,2.01,38137.0,51748039.32,3.2,,,,,2026-05-29,derived_from_last_daily_row,20260608
000417,合百集团,7.5,-1.45,14.41,1122544.0,861780199.45,5.52,,,,,2026-05-29,derived_from_last_daily_row,20260608
000926,福星股份,2.59,10.21,11.64,1830639.0,456909653.12,9.79,,,,,2026-05-29,derived_from_last_daily_row,20260608
000965,天保基建,3.31,1.22,2.05,227433.0,76814128.7,5.81,,,,,2026-05-29,derived_from_last_daily_row,20260608
001215,千味央厨,39.31,-2.79,3.0,29022.0,114826877.5,4.62,,,,,2026-05-29,derived_from_last_daily_row,20260608
920821,则成电子,20.88,-4.35,2.6,18935.0,40536038.47,7.1,,,,,2026-05-29,derived_from_last_daily_row,20260608
002161,远望谷,6.24,-5.31,2.72,200856.0,128360058.54,6.22,,,,,2026-05-29,derived_from_last_daily_row,20260608
002167,东方锆业,13.4,-2.55,10.39,788151.0,1092149758.23,8.51,,,,,2026-05-29,derived_from_last_daily_row,20260608
000045,深纺织A,11.28,-5.29,2.74,125158.0,142605465.75,7.3,,,,,2026-05-29,derived_from_last_daily_row,20260608
000912,泸天化,3.77,-0.53,1.55,243376.0,92346796.83,2.64,,,,,2026-05-29,derived_from_last_daily_row,20260608
001207,联科科技,18.3,-3.68,2.61,76361.0,141475331.92,4.11,,,,,2026-05-29,derived_from_last_daily_row,20260608
000957,中通客车,10.25,-0.58,2.12,125682.0,129616995.41,2.62,,,,,2026-05-29,derived_from_last_daily_row,20260608
002115,三维通信,12.2,-6.08,6.15,462428.0,576948039.8,8.01,,,,,2026-05-29,derived_from_last_daily_row,20260608
000973,佛塑科技,14.76,-3.47,4.91,475467.0,708757098.44,4.51,,,,,2026-05-29,derived_from_last_daily_row,20260608
000993,闽东电力,14.88,3.48,11.32,497763.0,731746409.29,6.12,,,,,2026-05-29,derived_from_last_daily_row,20260608
002112,三变科技,18.3,-3.89,6.43,168637.0,312485698.43,4.25,,,,,2026-05-29,derived_from_last_daily_row,20260608
000931,中关村,4.2,-2.1,0.88,66427.0,28260349.8,3.26,,,,,2026-05-29,derived_from_last_daily_row,20260608
000421,南京公用,5.77,-0.17,1.51,86751.0,50444430.0,1.9,,,,,2026-05-29,derived_from_last_daily_row,20260608
000036,华联控股,5.19,-2.08,2.3,322635.0,170780598.67,5.47,,,,,2026-05-29,derived_from_last_daily_row,20260608
001222,源飞宠物,16.21,0.56,2.12,23988.0,38806975.18,3.29,,,,,2026-05-29,derived_from_last_daily_row,20260608
920978,开特股份,22.49,-1.14,1.55,15650.0,35510364.92,3.6,,,,,2026-05-29,derived_from_last_daily_row,20260608
002238,天威视讯,6.53,-2.39,0.89,71664.0,47386902.74,3.89,,,,,2026-05-29,derived_from_last_daily_row,20260608
000949,新乡化纤,6.8,-4.63,2.79,462046.0,319445240.04,5.61,,,,,2026-05-29,derived_from_last_daily_row,20260608
001206,依依股份,16.82,0.24,2.25,23993.0,40382810.54,2.15,,,,,2026-05-29,derived_from_last_daily_row,20260608
002297,博云新材,20.61,-10.0,24.24,1389426.0,2939141488.43,6.07,,,,,2026-05-29,derived_from_last_daily_row,20260608
000968,蓝焰控股,7.49,-1.32,2.11,204413.0,153377251.08,2.11,,,,,2026-05-29,derived_from_last_daily_row,20260608
000906,浙商中拓,6.15,-0.49,1.31,91632.0,57729375.84,2.27,,,,,2026-05-29,derived_from_last_daily_row,20260608
002232,启明信息,15.45,-4.98,1.64,67171.0,105876281.13,6.83,,,,,2026-05-29,derived_from_last_daily_row,20260608
002134,天津普林,29.35,-3.61,5.13,127062.0,378246724.0,5.91,,,,,2026-05-29,derived_from_last_daily_row,20260608
002314,南山控股,2.29,1.78,2.76,369660.0,85861782.16,6.22,,,,,2026-05-29,derived_from_last_daily_row,20260608
000920,沃顿科技,12.85,-0.23,8.87,419040.0,560728745.68,10.09,,,,,2026-05-29,derived_from_last_daily_row,20260608
