stock_code,stock_name,index_code,index_name,exchange,in_date,source,download_date,指数英文名称,成分券英文名称,exchange_en
000011,深物业A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shenzhen Properties & Resources Development (Group) Co Ltd,Shenzhen Stock Exchange
000014,沙河股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shahe Industrial Co Ltd,Shenzhen Stock Exchange
000017,深中华A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shenzhen China Bicycles Co (Holdings) Ltd,Shenzhen Stock Exchange
000025,特力A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shenzhen Tellus Holding Co Ltd,Shenzhen Stock Exchange
000026,飞亚达,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"FIYTA Precision Technology Co., Ltd.",Shenzhen Stock Exchange
000036,华联控股,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,China Union Holdings Co Ltd,Shenzhen Stock Exchange
000037,深南电A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shenzhen Nanshan Power Company Limited,Shenzhen Stock Exchange
000042,中洲控股,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",Shenzhen Stock Exchange
000045,深纺织A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shenzhen Textile (Holdings) Co Ltd,Shenzhen Stock Exchange
000068,华控赛格,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"SHENZHEN HUAKONG SEG CO., LTD.",Shenzhen Stock Exchange
000070,特发信息,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shenzhen SDG Information Co Ltd,Shenzhen Stock Exchange
000090,天健集团,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"SHENZHEN TAGEN GROUP CO., LTD.",Shenzhen Stock Exchange
000096,广聚能源,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shenzhen Guangju Energy Co Ltd,Shenzhen Stock Exchange
