date,open,high,low,close,volume,amount,index_code,source
2026-01-05,3214.41,3257.09,3205.95,3257.09,377994838,558610767984.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-06,3259.97,3296.8,3259.31,3296.8,398724374,594477447027.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-07,3295.0,3323.07,3287.18,3313.92,411159306,620697106682.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-08,3306.8,3363.31,3305.24,3356.89,416257849,630215775645.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-09,3358.99,3412.84,3358.99,3412.84,466531986,716818953716.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-12,3436.15,3508.05,3430.93,3507.11,525655948,811868566460.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-13,3515.24,3515.38,3436.16,3444.31,555830907,829429757109.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-14,3440.3,3530.4,3428.02,3477.36,575107469,864276361056.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-15,3442.84,3462.73,3413.44,3443.47,418861702,631896383671.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-16,3451.52,3463.31,3422.09,3445.07,416746758,635598342873.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-19,3433.78,3488.8,3433.78,3484.43,398498055,595027446791.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-20,3485.41,3496.39,3425.68,3449.82,422342604,612019268413.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-21,3429.81,3486.9,3416.89,3484.19,381190474,555749855857.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-22,3492.92,3519.06,3485.88,3519.06,389574324,569556862502.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-23,3529.65,3584.4,3523.19,3584.4,435195077,659652007594.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-26,3590.88,3593.19,3499.91,3527.63,467419195,684986548128.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-27,3509.71,3538.57,3439.44,3537.21,410927355,601690380302.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-28,3534.79,3548.34,3502.04,3511.37,389733830,579416754939.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-29,3499.46,3535.61,3460.65,3468.82,435605129,626785430940.0,932000,stock_zh_index_daily_em(csi932000)
2026-01-30,3443.64,3480.89,3394.86,3464.69,408421140,566425138970.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-02,3435.7,3469.59,3381.36,3381.36,372595150,524916226669.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-03,3414.7,3476.93,3407.58,3476.93,348047082,517799725241.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-04,3468.69,3484.43,3444.3,3480.83,366074865,525699792071.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-05,3451.06,3468.05,3425.84,3438.21,336477867,472917265228.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-06,3413.66,3487.88,3404.12,3452.79,346409480,500452388867.0,932000,stock_zh_index_daily_em(csi932000)
