序号,stock_code,stock_name,资产-货币资金,资产-应收账款,资产-存货,total_assets,资产-总资产同比,负债-应付账款,负债-预收账款,total_liabilities,负债-总负债同比,asset_liability_ratio,equity,announcement_date,report_date_param
14,600400,红豆股份,641083757.82,238200876.92,299048159.07,3095245316.75,-25.4878792251,506660504.77,1884031.99,1648826113.72,4.3697502388,53.2696424673,1446419203.03,2026-05-09,20260331
19,300817,双飞集团,22124702.63,337826440.02,198051597.45,1340289491.51,3.1242306652,78597280.51,38532.06,259793520.48,13.3883069847,19.3833885982,1080495971.03,2026-05-08,20260331
22,002863,今飞凯达,538569489.69,920523683.12,1989357211.05,9361341807.1,7.8579285849,1053616847.58,4523769.02,6529824007.63,10.846519083,69.7530775201,2831517799.47,2026-05-07,20260331
32,688793,倍轻松,158937051.52,40835023.19,94739116.69,536223777.92,-13.5379754717,69311110.07,,311867902.64,25.7792588441,58.1600286078,224355875.29,2026-04-30,20260331
38,688733,壹石通,144162199.27,354618502.06,184467852.08,3586354228.79,5.9148723645,198918440.37,,1484998692.76,24.7105454562,41.4069162728,2101355536.03,2026-04-30,20260331
40,688721,龙图光罩,193294087.04,78605179.76,12905085.37,1560643539.93,20.4344240317,12831893.98,,337178054.36,359.9569583523,21.6050652012,1223465485.57,2026-04-30,20260331
41,688711,宏微科技,122712597.26,413361577.25,387386857.88,2652669215.77,3.3613402549,353999306.6,,1551002156.9,4.2556422508,58.4694898135,1101667058.87,2026-04-30,20260331
42,688710,益诺思,1341792037.51,231515664.78,441262470.05,3372379603.98,4.3819759067,44846742.87,4011600.0,996270169.11,20.3789787504,29.5420529745,2376109434.87,2026-04-30,20260331
46,688693,锴威特,282569957.25,126778716.92,170660804.41,929391353.2,-4.1591461886,62341568.91,6795016.24,142265136.56,95.5070963071,15.3073445401,787126216.64,2026-04-30,20260331
49,688678,福立旺,620950755.77,716248968.54,461725056.48,4326283939.46,17.7656074773,492519415.91,,1936734453.9,9.8238621917,44.7666977249,2389549485.56,2026-04-30,20260331
52,688665,四方光电,244329700.99,418721764.63,325377631.65,1757175042.9,11.6527287731,118010252.69,,533186998.45,14.9504822339,30.3434197182,1223988044.45,2026-04-30,20260331
54,688651,盛邦安全,115008332.7,246151918.24,29016313.33,1110694413.36,-2.953439658,83907657.01,,183727214.06,12.9263393185,16.541652848,926967199.3,2026-04-30,20260331
56,688627,精智达,226029768.7,767794321.5,223472783.64,2341708272.13,14.4211369433,315882114.32,,556935783.46,52.3697529978,23.783311956,1784772488.67,2026-04-30,20260331
61,688611,杭州柯林,137008323.1,93794816.7,51645127.86,1135895844.87,0.2905603775,85432973.7,,273215932.44,20.0950233593,24.0529035892,862679912.43,2026-04-30,20260331
64,688601,力芯微,185544184.3,174005314.98,185937991.94,1449062535.12,0.2721336389,81326303.13,,133168666.64,31.2572116412,9.1899875549,1315893868.48,2026-04-30,20260331
66,688595,芯海科技,201272799.09,127875618.09,342544339.55,1467468967.96,-8.3509812312,83256945.29,,748766899.94,-12.640469,51.0243770934,718702068.02,2026-04-30,20260331
67,688590,新致软件,337739506.45,1197528141.21,751773570.9,3285819922.29,2.3274612805,53566234.96,,1735551013.13,10.0213120447,52.8194196327,1550268909.16,2026-04-30,20260331
71,688579,地纬智能,149946519.05,201781162.54,91963134.69,1656222306.29,-1.8557590346,107258585.6,,270246214.44,-12.435461409,16.3170254025,1385976091.85,2026-04-30,20260331
76,688562,航天软件,1308380912.92,350593223.91,595387142.72,2933546725.4,-3.1355580351,450457661.46,,1201947009.7,-7.836690747,40.9724856023,1731599715.7,2026-04-30,20260331
81,688556,高测股份,473651082.13,1818026086.26,1110029765.82,7247618485.61,-4.1853932348,412118444.78,,3353656552.12,-15.2253284654,46.272531574,3893961933.49,2026-04-30,20260331
82,688529,豪森智能,430044531.39,648189254.15,3165102121.93,6062239808.95,-11.5071538441,481636283.02,,5081243673.44,4.5110741951,83.8179259411,980996135.51,2026-04-30,20260331
