序号,stock_code,stock_name,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比,announcement_date,report_date_param
14,600400,红豆股份,56895700.35,135.5747064031,208638046.67,366.7026601071,29297604.3,51.4935295985,-181039950.62,-318.1961897056,2026-05-09,20260331
19,300817,双飞集团,-31008378.54,-2244.6493360625,-33044552.92,-106.5665296796,1170752.08,3.775599161,2391127.12,7.7112291341,2026-05-08,20260331
22,002863,今飞凯达,11810276.95,130.4153903402,78485919.43,664.5561299052,-126945331.4,-1074.8717573469,104225611.33,882.4992993073,2026-05-07,20260331
32,688793,倍轻松,-34975738.58,57.1639756049,-45405844.98,-129.820975406,28391967.57,81.1761773238,-17354098.46,-49.6175325084,2026-04-30,20260331
38,688733,壹石通,-347212791.34,-12.4367682736,-34131731.15,-9.8302055688,-372025745.57,-107.1463249191,59319551.26,17.0844947938,2026-04-30,20260331
40,688721,龙图光罩,14994246.17,1074.4682190538,-1887867.31,-12.5906116826,1746127.72,11.6453184789,14503032.41,96.7239849578,2026-04-30,20260331
41,688711,宏微科技,-55631297.86,13.1220045397,101133128.31,181.7917830436,-140525010.07,-252.6006321543,-15811662.76,-28.4222431765,2026-04-30,20260331
42,688710,益诺思,54712823.54,199.4224121806,95548232.24,174.635900796,-39562805.63,-72.309932243,-978690.95,-1.7887779988,2026-04-30,20260331
46,688693,锴威特,13112.72,-99.6870251522,-48298953.91,-368336.652578565,32367387.88,246839.61740966,15944641.81,121596.753457711,2026-04-30,20260331
49,688678,福立旺,168758335.31,318.6379607627,178587977.32,105.824685336,-124584969.21,-73.824483384,122218183.51,72.4220129841,2026-04-30,20260331
52,688665,四方光电,5948504.57,-76.2898275571,10168414.62,170.940687703,-35319218.57,-593.7495408195,32474541.61,545.9278248483,2026-04-30,20260331
54,688651,盛邦安全,-46059386.85,-13.7401778434,-24375440.99,-52.9217661307,-19583374.95,-42.5176631504,-2100570.91,-4.5605707189,2026-04-30,20260331
56,688627,精智达,-478759005.6,-43.0749332236,-248223453.72,-51.847265705,-225085533.25,-47.0143706159,-5286011.37,-1.1041069323,2026-04-30,20260331
61,688611,杭州柯林,-107450026.38,-154.680787847,-4653476.7,-4.3308288111,-127681119.47,-118.828374242,24884569.79,23.1592030531,2026-04-30,20260331
64,688601,力芯微,-121310112.92,-808.439525941,-14150642.95,-11.6648502004,-103211594.9,-85.0807837992,-783316.87,-0.6457144018,2026-04-30,20260331
66,688595,芯海科技,-77360572.04,25.59072059,-16321041.78,-21.0973643933,-76588524.08,-99.0020136361,15547638.68,20.0976263102,2026-04-30,20260331
67,688590,新致软件,-231356581.62,-62.5068996291,-232243901.93,-100.3835293138,-14443717.63,-6.2430545649,15426026.71,6.6676411805,2026-04-30,20260331
71,688579,地纬智能,-54111739.37,57.0191492813,-43772210.97,-80.8922638223,-10339528.4,-19.1077361777,,,2026-04-30,20260331
76,688562,航天软件,259959330.37,178.2689165006,-193629804.11,-74.4846525933,422635804.88,162.5776633131,31656969.6,12.1776623886,2026-04-30,20260331
