date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,605399,13.58,13.68,13.8,13.48,47783,65286456.0,2.37,1.18,0.16,1.53,qfq,stock_zh_a_hist
2026-01-06,605399,13.72,14.11,14.37,13.68,117685,166065250.0,5.04,3.14,0.43,3.78,qfq,stock_zh_a_hist
2026-01-07,605399,14.11,14.17,14.35,13.99,77964,110342291.0,2.55,0.43,0.06,2.5,qfq,stock_zh_a_hist
2026-01-08,605399,14.6,14.11,14.8,14.06,114032,163108545.0,5.22,-0.42,-0.06,3.66,qfq,stock_zh_a_hist
2026-01-09,605399,14.0,13.95,14.08,13.83,97702,136347921.0,1.77,-1.13,-0.16,3.14,qfq,stock_zh_a_hist
2026-01-12,605399,13.95,14.17,14.18,13.92,99177,139548018.0,1.86,1.58,0.22,3.18,qfq,stock_zh_a_hist
2026-01-13,605399,14.18,13.82,14.23,13.79,81307,113600263.0,3.11,-2.47,-0.35,2.61,qfq,stock_zh_a_hist
2026-01-14,605399,13.7,13.67,13.95,13.44,91339,125455119.0,3.69,-1.09,-0.15,2.93,qfq,stock_zh_a_hist
2026-01-15,605399,13.6,13.75,13.88,13.55,47209,64878565.0,2.41,0.59,0.08,1.52,qfq,stock_zh_a_hist
2026-01-16,605399,13.77,13.5,13.78,13.34,59536,80443832.0,3.2,-1.82,-0.25,1.91,qfq,stock_zh_a_hist
2026-01-19,605399,13.45,13.7,13.71,13.42,51009,69530675.0,2.15,1.48,0.2,1.64,qfq,stock_zh_a_hist
2026-01-20,605399,13.73,14.78,15.06,13.62,255041,366683882.0,10.51,7.88,1.08,8.19,qfq,stock_zh_a_hist
2026-01-21,605399,14.5,14.3,14.61,14.07,159275,227083260.0,3.65,-3.25,-0.48,5.11,qfq,stock_zh_a_hist
2026-01-22,605399,14.27,14.4,14.48,14.18,87209,125242530.0,2.1,0.7,0.1,2.8,qfq,stock_zh_a_hist
2026-01-23,605399,14.42,14.84,14.99,14.41,109306,160828603.0,4.03,3.06,0.44,3.51,qfq,stock_zh_a_hist
2026-01-26,605399,15.0,15.17,15.25,14.74,142826,214107037.0,3.44,2.22,0.33,4.58,qfq,stock_zh_a_hist
2026-01-27,605399,15.4,15.05,15.63,14.72,120326,181569258.0,6.0,-0.79,-0.12,3.86,qfq,stock_zh_a_hist
2026-01-28,605399,15.06,15.7,15.99,14.96,161858,253120336.0,6.84,4.32,0.65,5.2,qfq,stock_zh_a_hist
2026-01-29,605399,15.55,15.2,15.94,15.18,149465,232519567.0,4.84,-3.18,-0.5,4.8,qfq,stock_zh_a_hist
2026-01-30,605399,14.99,15.08,15.46,14.61,119791,178854012.0,5.59,-0.79,-0.12,3.85,qfq,stock_zh_a_hist
2026-02-02,605399,14.82,14.27,14.95,14.2,91985,134124790.0,4.97,-5.37,-0.81,2.95,qfq,stock_zh_a_hist
2026-02-03,605399,14.34,14.91,15.04,14.23,86252,126963122.0,5.68,4.48,0.64,2.77,qfq,stock_zh_a_hist
2026-02-04,605399,14.98,14.99,15.11,14.7,60057,89678882.0,2.75,0.54,0.08,1.93,qfq,stock_zh_a_hist
2026-02-05,605399,15.1,14.74,15.7,14.7,77216,116454353.0,6.67,-1.67,-0.25,2.48,qfq,stock_zh_a_hist
2026-02-06,605399,14.6,14.95,15.17,14.42,62368,92946721.0,5.09,1.42,0.21,2.0,qfq,stock_zh_a_hist
2026-02-09,605399,15.0,15.53,15.65,15.0,88805,137431514.0,4.35,3.88,0.58,2.85,qfq,stock_zh_a_hist
2026-02-10,605399,15.46,15.34,15.7,15.29,53984,83384198.0,2.64,-1.22,-0.19,1.73,qfq,stock_zh_a_hist
2026-02-11,605399,15.3,15.28,15.49,15.08,48663,74431338.0,2.67,-0.39,-0.06,1.56,qfq,stock_zh_a_hist
2026-02-12,605399,15.15,15.09,15.29,14.92,50719,76624836.0,2.42,-1.24,-0.19,1.63,qfq,stock_zh_a_hist
2026-02-13,605399,15.06,14.98,15.27,14.81,49071,73892049.0,3.05,-0.73,-0.11,1.58,qfq,stock_zh_a_hist
2026-02-24,605399,15.13,15.51,15.61,15.1,72436,111555187.0,3.4,3.54,0.53,2.33,qfq,stock_zh_a_hist
2026-02-25,605399,15.57,16.28,17.06,15.57,188556,308076501.0,9.61,4.96,0.77,6.05,qfq,stock_zh_a_hist
2026-02-26,605399,16.27,16.23,16.47,16.02,119959,194485267.0,2.76,-0.31,-0.05,3.85,qfq,stock_zh_a_hist
2026-02-27,605399,16.1,16.16,16.3,15.98,67138,108299624.0,1.97,-0.43,-0.07,2.16,qfq,stock_zh_a_hist
